station_canton,year,HDD_mean,CDD_mean,n_stations
SG,2018,2839.7400000000002,5.120000000000001,5
SG,2019,3044.04,14.100000000000003,5
SG,2020,2961.7799999999997,2.479999999999999,5
SG,2021,3321.5199999999995,1.939999999999999,5
SG,2022,2814.44,9.680000000000001,5
SG,2023,2799.12,10.34,5
SG,2024,2837.8599999999997,3.1800000000000006,5
SH,2000,2931.6,0.25,2
SH,2001,3217.45,0.1999999999999993,2
SH,2002,2966.8,5.200000000000001,2
SH,2003,3217.4,34.1,2
SH,2004,3221.55,0.0,2
SH,2005,3285.05,3.0000000000000018,2
SH,2006,3165.25,10.55,2
SH,2007,2916.45,0.5,2
SH,2008,3156.35,0.6999999999999994,2
SH,2009,3126.35,0.25,2
SH,2010,3501.5,4.550000000000001,2
SH,2011,2906.7,4.950000000000001,2
SH,2012,3189.55,0.6999999999999993,2
SH,2013,3392.8,6.500000000000001,2
SH,2014,2813.6,1.0999999999999999,2
SH,2015,3038.0,25.8,2
SH,2016,3152.3500000000004,1.1499999999999986,2
SH,2017,3171.65,6.35,2
SH,2018,2790.25,16.75,2
SH,2019,2997.35,16.750000000000004,2
SH,2020,2888.3,3.8499999999999996,2
SH,2021,3270.4,1.049999999999999,2
SH,2022,2755.3,14.900000000000006,2
SH,2023,2745.8,18.349999999999998,2
SH,2024,2810.45,2.0000000000000018,2
SO,2000,2908.1499999999996,0.0,2
SO,2001,3092.7,0.0,2
SO,2002,2944.2,3.849999999999998,2
SO,2003,3193.05,21.300000000000004,2
SO,2004,3190.7,0.0,2
SO,2005,3328.5,3.3000000000000025,2
SO,2006,3144.65,5.4,2
SO,2007,2922.0,0.34999999999999964,2
SO,2008,3178.4,0.5999999999999996,2
SO,2009,3051.95,0.0,2
SO,2010,3473.05,2.3000000000000007,2
SO,2011,2876.45,1.5500000000000007,2
SO,2012,3132.95,1.3000000000000007,2
SO,2013,3253.8500000000004,7.35,2
SO,2014,2750.6,0.0,2
SO,2015,2957.5,28.950000000000006,2
SO,2016,3083.2,1.8000000000000007,2
SO,2017,3059.1499999999996,6.699999999999999,2
SO,2018,2680.55,12.7,2
SO,2019,2942.75,18.249999999999996,2
SO,2020,2774.0,3.4499999999999993,2
SO,2021,3132.0,0.3999999999999986,2
SO,2022,2631.05,13.350000000000001,2
SO,2023,2659.6499999999996,13.200000000000003,2
SO,2024,2765.75,1.1000000000000014,2
SZ,2000,3841.5,0.0,1
SZ,2001,4064.7,0.0,1
SZ,2002,3836.1,0.0,1
SZ,2003,3969.4,0.0,1
SZ,2004,4177.6,0.0,1
SZ,2005,4307.7,0.0,1
SZ,2006,4069.8,0.0,1
SZ,2007,3911.8,0.0,1
SZ,2008,4078.6,0.0,1
SZ,2009,4020.2,0.0,1
SZ,2010,4422.8,0.0,1
SZ,2011,3751.8,0.0,1
SZ,2012,4013.4,0.0,1
SZ,2013,2658.0,0.40000000000000036,2
SZ,2014,3499.5,0.0,2
SZ,2015,2461.0,7.0,4
SZ,2016,3343.575,0.5000000000000009,4
SZ,2017,3385.15,4.174999999999999,4
SZ,2018,3032.6000000000004,7.250000000000003,4
SZ,2019,3211.375,11.625,4
SZ,2020,3088.75,1.7249999999999996,4
SZ,2021,3506.575,0.9499999999999993,4
SZ,2022,2950.375,7.975,4
SZ,2023,2975.9,9.400000000000002,4
SZ,2024,3028.6,1.2500000000000009,4
TG,2000,3175.633333333333,0.1999999999999993,3
TG,2001,3407.6666666666665,0.0,3
TG,2002,3196.6666666666665,2.266666666666667,3
TG,2003,3440.566666666667,10.333333333333336,3
TG,2004,3466.6,0.0,3
TG,2005,3543.5,0.5666666666666677,3
TG,2006,3381.9666666666667,4.866666666666668,3
TG,2007,3165.7333333333336,0.43333333333333474,3
TG,2008,3332.2666666666664,0.5333333333333338,3
TG,2009,3287.366666666667,0.0,3
TG,2010,3341.975,3.0,4
TG,2011,3185.425,0.07500000000000018,4
TG,2012,3349.1,0.6749999999999998,4
TG,2013,3562.8,5.6499999999999995,4
TG,2014,2958.025,1.625,4
TG,2015,3167.175,17.574999999999996,4
TG,2016,3177.7,0.7249999999999996,4
TG,2017,3226.55,7.7,4
TG,2018,2888.025,7.424999999999999,4
TG,2019,3101.25,14.125,4
TG,2020,2983.675,2.325000000000001,4
TG,2021,3390.55,0.4500000000000011,4
TG,2022,2861.55,8.625,4
TG,2023,2829.75,5.575000000000001,4
TG,2024,2930.95,0.47500000000000053,4
TI,2000,3558.3300000000004,0.2700000000000003,10
TI,2001,3700.2699999999995,1.8100000000000005,10
TI,2002,3546.71,5.909999999999999,10
TI,2003,3560.62,38.3,10
TI,2004,3721.7300000000005,2.73,10
TI,2005,3824.3,6.220000000000001,10
TI,2006,3520.6099999999997,10.240000000000002,10
TI,2007,3313.5099999999998,3.5400000000000005,10
TI,2008,3540.6,1.5900000000000003,10
TI,2009,3461.97,2.0900000000000007,10
TI,2010,3841.6099999999997,9.59,10
TI,2011,3335.37,3.5200000000000005,10
TI,2012,3479.5099999999998,8.440000000000001,10
TI,2013,3388.8454545454547,7.6909090909090905,11
TI,2014,3269.590909090909,1.445454545454546,11
TI,2015,3254.3,24.60909090909091,11
TI,2016,3413.1727272727276,2.8454545454545452,11
TI,2017,3194.0750000000003,11.25,12
TI,2018,3199.9166666666665,13.241666666666667,12
TI,2019,3194.0416666666665,21.083333333333332,12
TI,2020,3223.225,8.175,12
TI,2021,3440.9500000000003,5.333333333333335,12
TI,2022,3030.566666666667,27.75,12
TI,2023,2990.641666666667,17.8,12
TI,2024,3083.9249999999997,21.875,12
UR,2000,4615.666666666667,3.3666666666666667,3
UR,2001,4776.233333333334,1.7666666666666668,3
UR,2002,4537.433333333333,1.4333333333333336,3
UR,2003,4568.666666666667,12.366666666666667,3
UR,2004,4829.2,0.29999999999999954,3
UR,2005,5004.5,1.9333333333333336,3
UR,2006,4652.2,1.0,3
UR,2007,4589.766666666666,2.6666666666666665,3
UR,2008,4720.099999999999,0.43333333333333357,3
UR,2009,4692.333333333333,1.3000000000000007,3
UR,2010,5083.900000000001,0.7666666666666669,3
UR,2011,4409.433333333333,1.4666666666666661,3
UR,2012,4649.933333333333,0.5,3
UR,2013,4894.0,5.366666666666667,3
UR,2014,4461.5,0.20000000000000048,3
UR,2015,4566.3,4.500000000000001,3
UR,2016,4177.825,0.0,4
UR,2017,4420.174999999999,1.9500000000000002,4
UR,2018,4084.425,0.5000000000000008,4
UR,2019,4261.85,4.575000000000001,4
UR,2020,4139.075,0.5749999999999993,4
UR,2021,4565.575,0.25,4
UR,2022,3988.1749999999997,3.6750000000000007,4
UR,2023,4050.25,2.125,4
UR,2024,4037.75,0.4750000000000005,4
VD,2000,3283.911111111111,0.5555555555555556,9
VD,2001,3572.5555555555557,0.4555555555555553,9
VD,2002,3633.5333333333333,2.81111111111111,9
VD,2003,3830.011111111111,20.88888888888889,9
VD,2004,3988.1555555555556,0.3111111111111112,9
VD,2005,4097.788888888888,2.2666666666666675,9
VD,2006,3776.6222222222223,4.433333333333334,9
VD,2007,3762.022222222222,0.2888888888888887,9
VD,2008,3960.4222222222224,0.4444444444444444,9
VD,2009,3537.47,1.5499999999999998,10
VD,2010,4223.36,2.5400000000000005,10
VD,2011,3545.0,1.1800000000000008,10
VD,2012,3719.2,2.227272727272728,11
VD,2013,3946.1363636363635,2.854545454545454,11
VD,2014,3196.476923076923,0.01538461538461533,13
VD,2015,3322.7799999999997,14.706666666666669,15
VD,2016,3693.586666666667,1.2466666666666673,15
VD,2017,3645.92,6.3933333333333335,15
VD,2018,3400.48,5.22,15
VD,2019,3603.0866666666666,10.493333333333334,15
VD,2020,3450.6266666666666,4.266666666666667,15
VD,2021,3846.3399999999997,0.42000000000000004,15
VD,2022,3240.773333333333,14.5,15
VD,2023,3378.213333333333,15.726666666666667,15
VD,2024,3404.633333333333,2.4266666666666667,15
VS,2000,5213.884615384615,0.6000000000000001,13
VS,2001,5123.321428571428,0.42857142857142855,14
VS,2002,5253.471428571429,1.8357142857142854,14
VS,2003,5170.192857142857,7.1000000000000005,14
VS,2004,5456.328571428572,0.4214285714285714,14
VS,2005,5632.707142857143,1.6785714285714286,14
VS,2006,5192.621428571429,1.3714285714285717,14
VS,2007,5130.2,0.35714285714285715,14
